seconds,APM1_CPU,APM2_CPU,APM3_CPU,APM4_CPU,APM5_CPU,APM6_CPU
800,0,0,66.2,2.7,32.3,0
805,0,0,66.4,2.7,32.1,0
810,0,0,66.6,2.7,31.9,0
815,0,0,66.8,2.7,31.8,0
820,0,0,67,2.7,32.1,0
825,0,0,66.9,2.7,32.5,0
830,0,0,66.5,2.7,32.9,0
835,0,0,66.1,2.7,33.3,0
840,0,0,65.7,2.7,33.7,0
845,0,0,65.3,3.1,34.1,0
850,0,0,64.9,3.6,34.5,0
855,0,0,64.5,4.2,34.3,0
860,0,0,64.1,4.8,34.1,0
865,0,0,64.3,5.3,33.9,0
870,0,0,64.4,5.9,33.6,0
875,0,0,64.6,6.4,33.5,0
880,0,0,64.8,6.9,33.3,0
885,0,0,65,7.5,33.1,0
890,0,0,65.2,8,32.9,0
895,0,0,65.4,8.4,32.7,0
