seconds,%CPU,%memory
0,0,0
5,3.6,0
10,1.6,0
15,1.1,0
20,0.8,0
25,0.6,0
30,0.6,0
35,0.5,0
40,0.4,0
45,0.4,0
50,0.3,0
55,0.3,0
60,0.3,0
65,0.4,0
70,0.6,0
75,0.8,0
80,1,0
85,1,0
90,1.2,0
95,1.3,0
100,1.4,0
105,1.4,0
110,1.6,0
115,1.6,0
120,1.7,0
125,1.8,0
130,1.8,0
135,1.8,0
140,1.9,0
145,1.9,0
150,1.9,0
155,1.9,0
160,2,0
165,2,0
170,2,0
175,2.1,0
180,2.1,0
185,2.1,0
190,2.1,0
195,2.2,0
200,2.2,0
205,2.2,0
210,2.2,0
215,2.2,0
220,2.2,0
225,2.2,0
230,2.3,0
235,2.3,0
240,2.3,0
245,2.3,0
250,2.3,0
255,2.3,0
260,2.3,0
265,2.3,0
270,2.3,0
275,2.3,0
280,2.3,0
285,2.3,0
290,2.4,0
295,2.4,0
300,2.4,0
305,2.4,0
310,2.4,0
315,2.4,0
320,2.4,0
325,2.4,0
330,2.4,0
335,2.4,0
340,2.4,0
345,2.4,0
350,2.5,0
355,2.5,0
360,2.5,0
365,2.5,0
370,2.5,0
375,2.5,0
380,2.5,0
385,2.5,0
390,2.5,0
395,2.5,0
400,2.5,0
405,2.5,0
410,2.5,0
415,2.5,0
420,2.5,0
425,2.5,0
430,2.5,0
435,2.5,0
440,2.5,0
445,2.5,0
450,2.5,0
455,2.5,0
460,2.5,0
465,2.5,0
470,2.5,0
475,2.6,0
480,2.6,0
485,2.6,0
490,2.6,0
495,2.6,0
500,2.6,0
505,2.6,0
510,2.6,0
515,2.6,0
520,2.6,0
525,2.6,0
530,2.6,0
535,2.6,0
540,2.6,0
545,2.6,0
550,2.6,0
555,2.6,0
560,2.6,0
565,2.6,0
570,2.6,0
575,2.6,0
580,2.6,0
585,2.6,0
590,2.6,0
595,2.6,0
600,2.6,0
605,2.6,0
610,2.6,0
615,2.6,0
620,2.7,0
625,2.6,0
630,2.7,0
635,2.7,0
640,2.7,0
645,2.7,0
650,2.7,0
655,2.7,0
660,2.7,0
665,2.7,0
670,2.7,0
675,2.7,0
680,2.7,0
685,2.7,0
690,2.7,0
695,2.7,0
700,2.7,0
705,2.7,0
710,2.7,0
715,2.7,0
720,2.7,0
725,2.7,0
730,2.7,0
735,2.7,0
740,2.7,0
745,2.7,0
750,2.7,0
755,2.7,0
760,2.7,0
765,2.7,0
770,2.7,0
775,2.7,0
780,2.7,0
785,2.7,0
790,2.7,0
795,2.7,0
800,2.7,0
805,2.7,0
810,2.7,0
815,2.7,0
820,2.7,0
825,2.7,0
830,2.7,0
835,2.7,0
840,2.7,0
845,3.1,0
850,3.6,0
855,4.2,0
860,4.8,0
865,5.3,0
870,5.9,0
875,6.4,0
880,6.9,0
885,7.5,0
890,8,0
895,8.4,0
